Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m³),Opmerkingen
2 apr. 2022,8.549,11.525,938,1.996,9.412,Smartmeter
1 apr. 2022,8.548,11.495,938,1.996,9.410,Smartmeter
31 mrt. 2022,8.547,11.464,938,1.996,9.408,Smartmeter
30 mrt. 2022,8.546,11.453,938,1.995,9.406,Smartmeter
29 mrt. 2022,8.545,11.439,938,1.993,9.405,Smartmeter
28 mrt. 2022,8.544,11.412,938,1.993,9.403,Smartmeter
27 mrt. 2022,8.538,11.412,934,1.993,9.403,Smartmeter
26 mrt. 2022,8.530,11.412,929,1.993,9.402,Smartmeter
25 mrt. 2022,8.529,11.405,929,1.987,9.400,Smartmeter
24 mrt. 2022,8.528,11.394,929,1.982,9.399,Smartmeter
23 mrt. 2022,8.527,11.392,929,1.977,9.398,Smartmeter
22 mrt. 2022,8.526,11.382,929,1.974,9.397,Smartmeter
21 mrt. 2022,8.525,11.370,929,1.970,9.396,Smartmeter
20 mrt. 2022,8.511,11.370,926,1.970,9.393,Smartmeter
19 mrt. 2022,8.499,11.370,922,1.970,9.391,Smartmeter
18 mrt. 2022,8.498,11.362,922,1.965,9.388,Smartmeter
17 mrt. 2022,8.497,11.353,922,1.965,9.387,Smartmeter
16 mrt. 2022,8.496,11.347,922,1.961,9.383,Smartmeter
15 mrt. 2022,8.495,11.334,922,1.960,9.379,Smartmeter
14 mrt. 2022,8.495,11.322,922,1.960,9.378,Smartmeter
13 mrt. 2022,8.486,11.322,920,1.960,9.375,Smartmeter
12 mrt. 2022,8.473,11.322,918,1.960,9.372,Smartmeter
11 mrt. 2022,8.472,11.311,918,1.956,9.369,Smartmeter
10 mrt. 2022,8.471,11.305,918,1.953,9.366,Smartmeter
9 mrt. 2022,8.471,11.295,918,1.948,9.361,Smartmeter
8 mrt. 2022,8.470,11.287,918,1.943,9.357,Smartmeter
7 mrt. 2022,8.469,11.279,918,1.939,9.351,Smartmeter
6 mrt. 2022,8.464,11.279,913,1.939,9.347,Smartmeter
5 mrt. 2022,8.452,11.279,910,1.939,9.343,Smartmeter
4 mrt. 2022,8.451,11.268,910,1.937,9.338,Smartmeter
3 mrt. 2022,8.450,11.254,910,1.935,9.334,Smartmeter
2 mrt. 2022,8.450,11.243,910,1.933,9.330,Smartmeter
1 mrt. 2022,8.449,11.231,910,1.931,9.325,Smartmeter
28 feb. 2022,8.448,11.224,910,1.928,9.321,Smartmeter
27 feb. 2022,8.438,11.224,907,1.928,9.316,Smartmeter
26 feb. 2022,8.425,11.224,906,1.928,9.312,Smartmeter
25 feb. 2022,8.420,11.210,906,1.926,9.307,Smartmeter
24 feb. 2022,8.419,11.192,906,1.926,9.304,Smartmeter
23 feb. 2022,8.418,11.181,906,1.924,9.300,Smartmeter
22 feb. 2022,8.418,11.169,906,1.924,9.295,Smartmeter
21 feb. 2022,8.417,11.145,906,1.924,9.290,Smartmeter
20 feb. 2022,8.398,11.145,906,1.924,9.288,Smartmeter
19 feb. 2022,8.381,11.145,905,1.924,9.283,Smartmeter
18 feb. 2022,8.380,11.139,905,1.923,9.276,Smartmeter
17 feb. 2022,8.379,11.132,905,1.922,9.271,Smartmeter
16 feb. 2022,8.378,11.124,905,1.922,9.263,Smartmeter
15 feb. 2022,8.377,11.118,905,1.922,9.256,Smartmeter
14 feb. 2022,8.377,11.113,905,1.921,9.251,Smartmeter
13 feb. 2022,8.365,11.113,905,1.921,9.246,Smartmeter
12 feb. 2022,8.360,11.113,903,1.921,9.238,Smartmeter
11 feb. 2022,8.359,11.107,903,1.921,9.228,Smartmeter
10 feb. 2022,8.358,11.095,903,1.920,9.225,Smartmeter
9 feb. 2022,8.357,11.079,903,1.920,9.220,Smartmeter
8 feb. 2022,8.357,11.075,903,1.920,9.212,Smartmeter
7 feb. 2022,8.356,11.063,903,1.919,9.206,Smartmeter
6 feb. 2022,8.339,11.063,903,1.919,9.202,Smartmeter
5 feb. 2022,8.321,11.063,902,1.919,9.196,Smartmeter
4 feb. 2022,8.321,11.046,902,1.919,9.194,Smartmeter
3 feb. 2022,8.320,11.037,902,1.918,9.189,Smartmeter
2 feb. 2022,8.319,11.030,902,1.917,9.183,Smartmeter
1 feb. 2022,8.318,11.024,902,1.917,9.175,Smartmeter
31 jan. 2022,8.318,11.014,902,1.916,9.169,Smartmeter
30 jan. 2022,8.300,11.014,902,1.916,9.164,Smartmeter
29 jan. 2022,8.291,11.014,902,1.916,9.159,Smartmeter
28 jan. 2022,8.290,11.010,902,1.915,9.152,Smartmeter
27 jan. 2022,8.289,11.000,902,1.915,9.146,Smartmeter
26 jan. 2022,8.288,10.984,902,1.914,9.140,Smartmeter
25 jan. 2022,8.287,10.968,902,1.914,9.135,Smartmeter
24 jan. 2022,8.287,10.958,902,1.914,9.129,Smartmeter
23 jan. 2022,8.274,10.958,902,1.914,9.125,Smartmeter
22 jan. 2022,8.254,10.958,902,1.914,9.123,Smartmeter
21 jan. 2022,8.253,10.938,902,1.914,9.118,Smartmeter
20 jan. 2022,8.253,10.927,902,1.914,9.112,Smartmeter
19 jan. 2022,8.252,10.906,902,1.914,9.108,Smartmeter
18 jan. 2022,8.251,10.896,902,1.913,9.103,Smartmeter
17 jan. 2022,8.251,10.890,902,1.913,9.097,Smartmeter
16 jan. 2022,8.242,10.890,902,1.913,9.091,Smartmeter
15 jan. 2022,8.227,10.890,902,1.913,9.086,Smartmeter
14 jan. 2022,8.226,10.863,902,1.913,9.085,Smartmeter
13 jan. 2022,8.225,10.850,902,1.913,9.081,Smartmeter
12 jan. 2022,8.223,10.827,902,1.913,9.075,Smartmeter
11 jan. 2022,8.223,10.813,902,1.913,9.068,Smartmeter
10 jan. 2022,8.222,10.804,902,1.913,9.061,Smartmeter
9 jan. 2022,8.209,10.804,901,1.913,9.054,Smartmeter
8 jan. 2022,8.199,10.804,901,1.913,9.045,Smartmeter
7 jan. 2022,8.198,10.799,901,1.913,9.037,Smartmeter
6 jan. 2022,8.198,10.791,901,1.913,9.029,Smartmeter
5 jan. 2022,8.197,10.784,901,1.913,9.022,Smartmeter
